title,first_name,middle_name,last_name,name_suffix,party,state,district,in_office,gender,phone,fax,website,webform,congress_address,bioguide_id,votesmart_id,fec_id,govtrack_id,crp_id,twitter_id,open_congress_url,youtube_url,facebook_id,official_rss,birthdate
Com,Luis,G.,Fortuno,,R,PR,0,0,M,,,,,,F000452,47567,H4PR00079,400662,N00026264,,http://www.opencongress.org/wiki/Luis_Fortuno,,,,10/31/60
Rep,Luis,V.,Gutierrez,,D,IL,4,1,M,202-225-8203,202-225-7810,http://luisgutierrez.house.gov/,http://www.house.gov/writerep,2266 Rayburn House Office Building,G000535,26841,H2IL08039,400163,N00004874,repgutierrez,http://www.opencongress.org/wiki/Luis_Gutierrez,http://www.youtube.com/repluisgutierrez,RepGutierrez,,12/10/53
Rep,Stephanie,,Herseth Sandlin,,D,SD,0,0,F,,,,,,H001037,48367,H2SD00092,400443,N00024773,,http://www.opencongress.org/wiki/Stephanie_Herseth_Sandlin,http://www.youtube.com/hersethsandlin,,,12/3/70
Rep,Jaime,,Herrera,,R,WA,3,1,F,202-225-3536,202-225-3478,http://herrerabeutler.house.gov/,,1130 Longworth House Office Building,H001056,101907,H0WA03187,412486,N00031559,herrerabeutler,http://www.opencongress.org/wiki/Jaime_Herrera,http://www.youtube.com/user/RepHerreraBeutler,,,11/3/78
Rep,Ben,Ray,Lujan,Jr.,D,NM,3,1,M,202-225-6190,202-226-1528,http://lujan.house.gov/,https://forms.house.gov/lujan/contact-form.shtml,330 Cannon House Office Building,L000570,102842,H8NM03196,412293,N00029562,repbenraylujan,http://www.opencongress.org/wiki/Ben_Lujan,http://www.youtube.com/Repbenraylujan,RepBenRayLujan,,6/7/72
Sen,Robert,,Menendez,,D,NJ,Junior Seat,1,M,202-224-4744,202-228-2197,http://menendez.senate.gov/,http://menendez.senate.gov/contact/,528 Hart Senate Office Building,M000639,26961,H2NJ13075,400272,N00000699,SenatorMenendez,http://www.opencongress.org/wiki/Robert_Menendez,http://www.youtube.com/SenatorMenendezNJ,senatormenendez,,1/1/54
Rep,Ralph,Bradley,Miller,,D,NC,13,1,M,202-225-3032,202-225-0181,http://bradmiller.house.gov/,http://bradmiller.house.gov/?sectionid=17&sectiontree=9,17,1127 Longworth House Office Building,M001154,10205,H2NC13029,400280,N00025093,RepBradMiller,http://www.opencongress.org/wiki/Ralph_Miller,http://www.youtube.com/MillerNC13,repbradmiller,,5/19/53
Rep,Cathy,,McMorris-Rodgers,,R,WA,5,1,F,202-225-2006,202-225-3392,http://mcmorris.house.gov/,http://www.mcmorris.house.gov/IMA/issue_subscribe.htm,2421 Rayburn House Office Building,M001159,3217,H4WA05077,400659,N00026314,cathymcmorris,http://www.opencongress.org/wiki/Cathy_McMorris-Rodgers,http://www.youtube.com/McMorrisRodgers,mcmorrisrodgers,,5/22/69
Rep,Nydia,M.,Velazquez,,D,NY,12,1,F,202-225-2361,202-226-0327,http://house.gov/velazquez/,http://www.house.gov/velazquez/IMA/issue_subscribe.htm,2302 Rayburn House Office Building,V000081,26975,H2NY00010,400416,N00001102,NydiaVelazquez,http://www.opencongress.org/wiki/Nydia_Velazquez,http://www.youtube.com/nydiavelazquez,8037068318,,3/28/53
Rep,Christopher,,Van Hollen,Jr.,D,MD,8,1,M,202-225-5341,202-225-0375,http://vanhollen.house.gov,http://vanhollen.house.gov/HoR/MD08/Contact+Information/Web+Contact/Contact+Form.htm,1707 Longworth House Office Building,V000128,6098,H2MD08126,400415,N00013820,chrisvanhollen,http://www.opencongress.org/wiki/Christopher_Van_Hollen,http://www.youtube.com/RepChrisVanHollen,chrisvanhollen,,1/10/59
Rep,Debbie,,Wasserman Schultz,,D,FL,20,1,F,202-225-7931,202-225-2052,http://wassermanschultz.house.gov/,http://wassermanschultz.house.gov/zipauth.htm,118 Cannon House Office Building,W000797,24301,H4FL20023,400623,N00026106,,http://www.opencongress.org/wiki/Debbie_Wasserman_Schultz,http://www.youtube.com/RepWassermanSchultz,88904724121,,9/27/66
