John,Dingell,D,MI,15
John,Conyers,D,MI,14
Charles,Rangel,D,NY,15
Bill,Young,R,FL,10
Pete,Stark,D,CA,13
Don,Young,R,AK,
George,Miller,D,CA,7
Henry,Waxman,D,CA,30
Ed,Markey,D,MA,7
Norm,Dicks,D,WA,6
Dale,Kildee,D,MI,5
Nick,Rahall,D,WV,3
Jerry,Lewis,R,CA,41
James,Sensenbrenner,R,WI,5
Tom,Petri,R,WI,6
David,Dreier,R,CA,26
Barney,Frank,D,MA,4
Ralph,Hall,R,TX,4
Hal,Rogers,R,KY,5
Christopher,Smith,R,NJ,4
Frank,Wolf,R,VA,10
Steny,Hoyer,D,MD,5
Howard,Berman,D,CA,28
Dan,Burton,R,IN,5
Marcy,Kaptur,D,OH,9
Sander,Levin,D,MI,12
Ed,Towns,D,NY,10
Gary,Ackerman,D,NY,5
Joe,Barton,R,TX,6
Howard,Coble,R,NC,6
Pete,Visclosky,D,IN,1
Peter,DeFazio,D,OR,4
Elton,Gallegly,R,CA,24
Wally,Herger,R,CA,2
John,Lewis,D,GA,5
Louise,Slaughter,D,NY,28
Lamar,Smith,R,TX,21
Fred,Upton,R,MI,6
Nancy,Pelosi,D,CA,8
Jerry,Costello,D,IL,12
Frank,Pallone,D,NJ,6
John,Duncan,R,TN,2
Eliot,Engel,D,NY,17
Nita,Lowey,D,NY,18
Jim,McDermott,D,WA,7
Richard,Neal,D,MA,2
Dana,Rohrabacher,R,CA,46
Cliff,Stearns,R,FL,6
Ileana,Ros-Lehtinen,R,FL,18
JosŽ,Serrano,D,NY,16
Rob,Andrews,D,NJ,1
Ron,Paul,R,TX,14
David,Price,D,NC,4
John,Boehner,R,OH,8
Dave,Camp,R,MI,4
Rosa,DeLauro,D,CT,3
Jim,Moran,D,VA,8
Collin,Peterson,D,MN,7
Maxine,Waters,D,CA,35
Sam,Johnson,R,TX,3
John,Olver,D,MA,1
Ed,Pastor,D,AZ,4
Jerrold,Nadler,D,NY,8
Jim,Cooper,D,TN,5
Spencer,Bachus,R,AL,6
Roscoe,Bartlett,R,MD,6
Xavier,Becerra,D,CA,31
Sanford,Bishop,D,GA,2
Corrine,Brown,D,FL,3
Ken,Calvert,R,CA,44
Jim,Clyburn,D,SC,6
Anna,Eshoo,D,CA,14
Bob,Filner,D,CA,51
Bob,Goodlatte,R,VA,6
Gene,Green,D,TX,29
Luis,GutiŽrrez,D,IL,4
Alcee,Hastings,D,FL,23
Maurice,Hinchey,D,NY,22
Tim,Holden,D,PA,17
Eddie,Johnson,D,TX,30
Peter,King,R,NY,3
Jack,Kingston,R,GA,1
Buck,McKeon,R,CA,25
Carolyn,Maloney,D,NY,14
Donald,Manzullo,R,IL,16
John,Mica,R,FL,7
Lucille,Roybal-Allard,D,CA,34
Ed,Royce,R,CA,40
Bobby,Rush,D,IL,1
Bobby,Scott,D,VA,3
Nydia,Vel‡zquez,D,NY,12
Mel,Watt,D,NC,12
Lynn,Woolsey,D,CA,6
Bennie,Thompson,D,MS,2
Sam,Farr,D,CA,17
Frank,Lucas,R,OK,3
Lloyd,Doggett,D,TX,25
Mike,Doyle,D,PA,14
Chaka,Fattah,D,PA,2
Rodney,Frelinghuysen,R,NJ,11
Doc,Hastings,R,WA,4
Sheila,Jackson-Lee,D,TX,18
Walter,Jones,R,NC,3
Tom,Latham,R,IA,4
Steven,LaTourette,R,OH,14
Frank,LoBiondo,R,NJ,2
Zoe,Lofgren,D,CA,16
Sue,Myrick,R,NC,9
Mac,Thornberry,R,TX,13
Ed,Whitfield,R,KY,1
Jesse,Jackson,D,IL,2
Elijah,Cummings,D,MD,7
Earl,Blumenauer,D,OR,3
Jo,Emerson,R,MO,8
Dan,Lungren,R,CA,3
Robert,Aderholt,R,AL,4
Leonard,Boswell,D,IA,3
Kevin,Brady,R,TX,8
Danny,Davis,D,IL,7
Diana,DeGette,D,CO,1
Kay,Granger,R,TX,12
RubŽn,Hinojosa,D,TX,15
Ron,Kind,D,WI,3
Dennis,Kucinich,D,OH,10
Carolyn,McCarthy,D,NY,4
Jim,McGovern,D,MA,3
Mike,McIntyre,D,NC,7
Bill,Pascrell,D,NJ,8
Joe,Pitts,R,PA,16
Silvestre,Reyes,D,TX,16
Steven,Rothman,D,NJ,9
Loretta,Sanchez,D,CA,47
Pete,Sessions,R,TX,32
Brad,Sherman,D,CA,27
John,Shimkus,R,IL,19
Adam,Smith,D,WA,9
John,Tierney,D,MA,6
Gregory,Meeks,D,NY,6
Lois,Capps,D,CA,23
Mary,Mack,R,CA,45
Barbara,Lee,D,CA,9
Robert,Brady,D,PA,1
Steve,Chabot,R,OH,1
Tammy,Baldwin,D,WI,2
Shelley,Berkley,D,NV,1
Judy,Biggert,R,IL,13
Mike,Capuano,D,MA,8
Joe,Crowley,D,NY,7
Charlie,Gonzalez,D,TX,20
Rush,Holt,D,NJ,12
John,Larson,D,CT,1
Gary,Miller,R,CA,42
Grace,Napolitano,D,CA,38
Paul,Ryan,R,WI,1
Jan,Schakowsky,D,IL,9
Mike,Simpson,R,ID,2
Lee,Terry,R,NE,2
Mike,Thompson,D,CA,1
Greg,Walden,R,OR,2
Joe,Baca,D,CA,43
Charles,Bass,R,NH,2
Brian,Bilbray,R,CA,50
Todd,Akin,R,MO,2
Eric,Cantor,R,VA,7
Shelley,Capito,R,WV,2
William,Clay,D,MO,1
Ander,Crenshaw,R,FL,4
John,Culberson,R,TX,7
Susan,Davis,D,CA,53
Jeff,Flake,R,AZ,6
Sam,Graves,R,MO,6
Mike,Honda,D,CA,15
Steve,Israel,D,NY,2
Darrell,Issa,R,CA,49
Timothy,Johnson,R,IL,15
James,Langevin,D,RI,2
Rick,Larsen,D,WA,2
Betty,McCollum,D,MN,4
Jim,Matheson,D,UT,2
Mike,Pence,R,IN,6
Todd,Platts,R,PA,19
Denny,Rehberg,R,MT,
Mike,Rogers,R,MI,8
Mike,Ross,D,AR,4
Adam,Schiff,D,CA,29
Patrick,Tiberi,R,OH,12
Bill,Shuster,R,PA,9
Randy,Forbes,R,VA,4
Stephen,Lynch,D,MA,9
Jeff,Miller,R,FL,1
Joe,Wilson,R,SC,2
John,Sullivan,R,OK,1
