Gary	Gary	N00001143	{"opensecrets_industries":[{"industry_name":"Pro-Israel", "indivs":"39298", "pacs":"2000", "total":"41298"}, {"industry_name":"Real Estate", "indivs":"26200", "pacs":"9500", "total":"35700"}, {"industry_name":"Lawyers/Law Firms", "indivs":"12250", "pacs":"11000", "total":"23250"}, {"industry_name":"Securities & Investment", "indivs":"2750", "pacs":"17500", "total":"20250"}, {"industry_name":"Retired", "indivs":"18500", "pacs":"0", "total":"18500"}, {"industry_name":"Public Sector Unions", "indivs":"0", "pacs":"18000", "total":"18000"}, {"industry_name":"Insurance", "indivs":"3800", "pacs":"14000", "total":"17800"}, {"industry_name":"Building Trade Unions", "indivs":"0", "pacs":"12500", "total":"12500"}, {"industry_name":"Misc Finance", "indivs":"9500", "pacs":"0", "total":"9500"}, {"industry_name":"Commercial Banks", "indivs":"4000", "pacs":"4500", "total":"8500"}, {"industry_name":"Transportation Unions", "indivs":"0", "pacs":"8500", "total":"8500"}]}
Robert	Robert	N00003028	{"opensecrets_industries":[{"industry_name":"Lawyers/Law Firms", "indivs":"21246", "pacs":"26250", "total":"47496"}, {"industry_name":"Misc Defense", "indivs":"20000", "pacs":"25000", "total":"45000"}, {"industry_name":"Defense Aerospace", "indivs":"3000", "pacs":"38000", "total":"41000"}, {"industry_name":"Computers/Internet", "indivs":"12000", "pacs":"22500", "total":"34500"}, {"industry_name":"Building Materials & Equipment", "indivs":"13500", "pacs":"17500", "total":"31000"}, {"industry_name":"Trucking", "indivs":"24000", "pacs":"3500", "total":"27500"}, {"industry_name":"Health Professionals", "indivs":"21000", "pacs":"6000", "total":"27000"}, {"industry_name":"Defense Electronics", "indivs":"0", "pacs":"25000", "total":"25000"}, {"industry_name":"Leadership PACs", "indivs":"0", "pacs":"24500", "total":"24500"}, {"industry_name":"Accountants", "indivs":"11771", "pacs":"12500", "total":"24271"}]}
Daniel	Daniel	N00007653	{"opensecrets_industries":[{"industry_name":"Building Trade Unions", "indivs":"0", "pacs":"23500", "total":"23500"}, {"industry_name":"Health Professionals", "indivs":"8000", "pacs":"13500", "total":"21500"}, {"industry_name":"Business Services", "indivs":"13100", "pacs":"0", "total":"13100"}, {"industry_name":"Real Estate", "indivs":"12000", "pacs":"1000", "total":"13000"}, {"industry_name":"Retired", "indivs":"12000", "pacs":"0", "total":"12000"}, {"industry_name":"Lawyers/Law Firms", "indivs":"11000", "pacs":"1000", "total":"12000"}, {"industry_name":"Transportation Unions", "indivs":"0", "pacs":"12000", "total":"12000"}, {"industry_name":"Sea Transport", "indivs":"9000", "pacs":"2000", "total":"11000"}, {"industry_name":"Lobbyists", "indivs":"10662", "pacs":"0", "total":"10662"}, {"industry_name":"Computers/Internet", "indivs":"7000", "pacs":"2000", "total":"9000"}, {"industry_name":"Commercial Banks", "indivs":"5000", "pacs":"4000", "total":"9000"}]}
Robert	Robert	N00000826	{"opensecrets_industries":[{"industry_name":"Education", "indivs":"73950", "pacs":"24601", "total":"98551"}, {"industry_name":"Lawyers/Law Firms", "indivs":"59812", "pacs":"36250", "total":"96062"}, {"industry_name":"Pro-Israel", "indivs":"28275", "pacs":"16500", "total":"44775"}, {"industry_name":"Defense Aerospace", "indivs":"5000", "pacs":"38000", "total":"43000"}, {"industry_name":"Building Trade Unions", "indivs":"0", "pacs":"36000", "total":"36000"}, {"industry_name":"Lobbyists", "indivs":"28436", "pacs":"6750", "total":"35186"}, {"industry_name":"Public Sector Unions", "indivs":"0", "pacs":"34500", "total":"34500"}, {"industry_name":"Insurance", "indivs":"5550", "pacs":"24241", "total":"29791"}, {"industry_name":"Industrial Unions", "indivs":"0", "pacs":"28500", "total":"28500"}, {"industry_name":"Misc Finance", "indivs":"17475", "pacs":"7500", "total":"24975"}]}
W. Todd	W. Todd	N00009677	{"opensecrets_industries":[{"industry_name":"Retired", "indivs":"210951", "pacs":"0", "total":"210951"}, {"industry_name":"Misc Manufacturing & Distributing", "indivs":"109850", "pacs":"5000", "total":"114850"}, {"industry_name":"Health Professionals", "indivs":"85600", "pacs":"22000", "total":"107600"}, {"industry_name":"Automotive", "indivs":"53250", "pacs":"11000", "total":"64250"}, {"industry_name":"Mining", "indivs":"48080", "pacs":"15000", "total":"63080"}, {"industry_name":"Republican/Conservative", "indivs":"28650", "pacs":"20500", "total":"49150"}, {"industry_name":"Defense Aerospace", "indivs":"6200", "pacs":"40000", "total":"46200"}, {"industry_name":"Securities & Investment", "indivs":"35250", "pacs":"7000", "total":"42250"}, {"industry_name":"Misc Finance", "indivs":"41501", "pacs":"0", "total":"41501"}, {"industry_name":"Leadership PACs", "indivs":"0", "pacs":"40391", "total":"40391"}]}
Lamar	Lamar	N00009888	{"opensecrets_industries":[{"industry_name":"Real Estate", "indivs":"308233", "pacs":"40500", "total":"348733"}, {"industry_name":"Lawyers/Law Firms", "indivs":"267100", "pacs":"72750", "total":"339850"}, {"industry_name":"Retired", "indivs":"333616", "pacs":"0", "total":"333616"}, {"industry_name":"Leadership PACs", "indivs":"0", "pacs":"300550", "total":"300550"}, {"industry_name":"Securities & Investment", "indivs":"224649", "pacs":"40000", "total":"264649"}, {"industry_name":"Misc Finance", "indivs":"213022", "pacs":"9000", "total":"222022"}, {"industry_name":"Health Professionals", "indivs":"125950", "pacs":"58000", "total":"183950"}, {"industry_name":"Education", "indivs":"137500", "pacs":"21900", "total":"159400"}, {"industry_name":"Oil & Gas", "indivs":"61750", "pacs":"89500", "total":"151250"}, {"industry_name":"Lobbyists", "indivs":"139175", "pacs":"3000", "total":"142175"}]}
Rodney	Rodney	N00025464	{"opensecrets_industries":[{"industry_name":"Crop Production & Basic Processing", "indivs":"19500", "pacs":"31500", "total":"51000"}, {"industry_name":"Lawyers/Law Firms", "indivs":"32133", "pacs":"16500", "total":"48633"}, {"industry_name":"Health Professionals", "indivs":"34500", "pacs":"11000", "total":"45500"}, {"industry_name":"Oil & Gas", "indivs":"21050", "pacs":"23000", "total":"44050"}, {"industry_name":"Lobbyists", "indivs":"43250", "pacs":"500", "total":"43750"}, {"industry_name":"Hospitals/Nursing Homes", "indivs":"19266", "pacs":"11500", "total":"30766"}, {"industry_name":"Commercial Banks", "indivs":"19500", "pacs":"11000", "total":"30500"}, {"industry_name":"General Contractors", "indivs":"14400", "pacs":"13000", "total":"27400"}, {"industry_name":"Retired", "indivs":"25800", "pacs":"0", "total":"25800"}, {"industry_name":"Business Services", "indivs":"20250", "pacs":"4000", "total":"24250"}]}
Jason	Jason	N00027664	{"opensecrets_industries":[{"industry_name":"Pharmaceuticals/Health Products", "indivs":"8800", "pacs":"108000", "total":"116800"}, {"industry_name":"Hospitals/Nursing Homes", "indivs":"34920", "pacs":"56500", "total":"91420"}, {"industry_name":"Insurance", "indivs":"11199", "pacs":"55000", "total":"66199"}, {"industry_name":"Mining", "indivs":"42250", "pacs":"19998", "total":"62248"}, {"industry_name":"Lobbyists", "indivs":"56739", "pacs":"1500", "total":"58239"}, {"industry_name":"Lawyers/Law Firms", "indivs":"28900", "pacs":"26783", "total":"55683"}, {"industry_name":"Health Professionals", "indivs":"8500", "pacs":"45250", "total":"53750"}, {"industry_name":"Oil & Gas", "indivs":"32300", "pacs":"20739", "total":"53039"}, {"industry_name":"Electric Utilities", "indivs":"1000", "pacs":"47000", "total":"48000"}, {"industry_name":"Railroads", "indivs":"6000", "pacs":"39500", "total":"45500"}]}
Steven	Steven	N00029412	{"opensecrets_industries":[{"industry_name":"Defense Electronics", "indivs":"18910", "pacs":"9000", "total":"27910"}, {"industry_name":"Lawyers/Law Firms", "indivs":"18000", "pacs":"6250", "total":"24250"}, {"industry_name":"Food Processing & Sales", "indivs":"22500", "pacs":"0", "total":"22500"}, {"industry_name":"Misc Business", "indivs":"22300", "pacs":"0", "total":"22300"}, {"industry_name":"Misc Defense", "indivs":"14200", "pacs":"4000", "total":"18200"}, {"industry_name":"Retired", "indivs":"17425", "pacs":"0", "total":"17425"}, {"industry_name":"Electric Utilities", "indivs":"5500", "pacs":"11500", "total":"17000"}, {"industry_name":"Computers/Internet", "indivs":"8800", "pacs":"6000", "total":"14800"}, {"industry_name":"Misc Manufacturing & Distributing", "indivs":"5800", "pacs":"7500", "total":"13300"}, {"industry_name":"Health Professionals", "indivs":"8450", "pacs":"4500", "total":"12950"}]}
Justin	Justin	N00031938	{"opensecrets_industries":[{"industry_name":"Misc Manufacturing & Distributing", "indivs":"62000", "pacs":"2000", "total":"64000"}, {"industry_name":"Health Professionals", "indivs":"53550", "pacs":"3000", "total":"56550"}, {"industry_name":"Retired", "indivs":"43750", "pacs":"0", "total":"43750"}, {"industry_name":"Retail Sales", "indivs":"34500", "pacs":"1000", "total":"35500"}, {"industry_name":"Lawyers/Law Firms", "indivs":"27625", "pacs":"1500", "total":"29125"}, {"industry_name":"Misc Finance", "indivs":"25000", "pacs":"0", "total":"25000"}, {"industry_name":"Food Processing & Sales", "indivs":"22750", "pacs":"0", "total":"22750"}, {"industry_name":"Securities & Investment", "indivs":"17700", "pacs":"2000", "total":"19700"}, {"industry_name":"Misc Services", "indivs":"15950", "pacs":"1000", "total":"16950"}, {"industry_name":"Automotive", "indivs":"14500", "pacs":"2000", "total":"16500"}]}
