
Adam Putnam	Republican Representative (FL-12)
Adam Schiff	Democrat Representative (CA-27)
Al D'Amato	Republican Jr Senator (NY)
Al Gore	2000 Democratic Nominee for President & Former Vice President
Al Lewis	Green Party (New York)
Al Sharpton	Civil Rights Activist
Alan Blinken	Democrat Challenger (ID)
Alan Keyes	2000 Republican Primary Candidate for President
Alan Mollohan	Democrat Representative (WV-1)
Alan Simpson	Former Republican Senator (WY)
Albert Wynn	Democrat Representative (MD-4)
Alcee Hastings	Democrat Representative (FL-23)
Alex Sanders	Democratic Candidate (SC)
Allen Boyd	Democrat Representative (FL-2)
Amo Houghton	Republican/Conservative Representative (NY-31)
Ander Crenshaw	Republican Representative (FL-4)
Andrea Nuciforo	Democratic Massachusetts State Senator (Berkshire, Hampshire & Franklin)
Andrea Seastrand	Former Republican Representative (CA-22)
Andrew Cuomo	Democratic Challenger Governor (NY)
Angus King	Independent Governor (ME)
Anibal Acevedo-Vila	Representative (PR-Delegate)
Ann Veneman	Cabinet Member
Anna Eshoo	Democrat Representative (CA-14)
Anne Meagher Northup	Republican Representative (KY-3)
Anthony Kennedy	Supreme Court Justice
Anthony Principi	Cabinet Member
Anthony Weiner	Democrat/Liberal Representative (NY-9)
Antonin Scalia	Supreme Court Justice
Arianna Huffington	Political Columnist
Arlen Specter	Republican Sr Senator (PA)
Artur Davis	US Representative (Alabama-7)
Asa Hutchinson	Director of DEA & Former Republican Representative (AR-3)
Barbara Bailey Kennelly	Former Democrat Representative (CT-1), ran for Governor, 1998
Barbara Boxer	Democrat Jr Senator (CA)
Barbara Cubin	Republican Representative (WY-AL)
Barbara Lee	Democrat Representative (CA-9)
Barbara Mikulski	Democrat Jr Senator (MD)
Barbara Vucanovich	Former Republican Representative (NV-2)
Barney Frank	Democrat Representative (MA-4)
Baron Hill	Democrat Representative (IN-9)
Bart Gordon	Democrat Representative (TN-6)
Bart Stupak	Democrat Representative (MI-1)
Ben Ballenger	2000 Republican Challenger for Senate (GA)
Ben Cayetano	Democrat Governor (HI)
Ben Nelson	Democrat Jr Senator (NE)
Ben Nighthorse Campbell	Republican Sr Senator (CO)
Benjamin Cardin	Democrat Representative (MD-3)
Benjamin Gilman	Republican Representative (NY-20)
Bennett Johnston	Former Democrat Senator (LA)
Bennie Thompson	Democrat Representative (MS-2)
Bernie Sanders	Independent Representative (VT-AL)
Betty McCollum	Democrat Representative (MN-4)
Bill Archer	Republican Representative (TX-7)
Bill Baker	Former Republican Representative (CA-10)
Bill Barrett	Republican Representative (NE-3)
Bill Bradbury	Democrat Challenger (OR)
Bill Bradley	2000 Democratic Primary Challenger for President
Bill Clinger	Former Republican Representative (PA-5)
Bill Clinton	President of the U.S., 1992-2000
Bill Delahunt	Democrat Representative (MA-10)
Bill Emerson	Former Republican Representative (MO-8)
Bill Frist	Republican Jr Senator (TN)
Bill Goodling	Republican Representative (PA-19)
Bill Graves	Republican Governor (KS)
Bill Hefner	Former Democrat Representative (NC-8, 1975-98)
Bill Janklow	Republican Governor (SD)
Bill Jenkins	Republican Representative (TN-1)
Bill Luther	Democrat/Farmer/Labor Representative (MN-6)
Bill McCollum	Republican Representative (FL-8)
Bill Nelson	Democrat Jr Senator (FL)
Bill Owens	Republican Governor (CO)
Bill Pascrell	Democrat Representative (NJ-8)
Bill Paxon	Former Republican Representative (NY-27)
Bill Richardson	Democratic Governor (NM)
Bill Thomas	Republican Representative (CA-21)
Bill Young	Republican Representative (FL-10)
Bill Zeliff	Former Republican Representative (NH-1)
Billy Tauzin	Republican Representative (LA-3)
Blanche Lambert Lincoln	Democrat Jr Senator (AR)
Bob Barr	Republican Representative (GA-7)
Bob Beauprez	US Representative (Colorado-7)
Bob Clement	Democrat Representative (TN-5)
Bob Dole	Former Republican Senator (KS)
Bob Dornan	Former Republican Representative (CA-46)
Bob Etheridge	Democrat Representative (NC-2)
Bob Filner	Democrat Representative (CA-50)
Bob Goodlatte	Republican Representative (VA-6)
Bob Graham	Democrat Sr Senator (FL)
Bob Holden	Democrat Governor (MO)
Bob Inglis	Former Republican Representative (SC-4)
Bob Kerrey	Democrat Sr Senator (NE)
