     1	Adam Putnam	Republican	Representative	FL-12
     2	Adam Schiff	Democrat	Representative	CA-27
     3	Al D'Amato	Republican	Jr Senator	NY
     4	Alan Mollohan	Democrat	Representative	WV-1
     5	Alan Simpson	Democrat	Representative	WV-1
     6	Albert Wynn	Democrat	Representative	MD-4
     7	Alcee Hastings	Democrat	Representative	FL-23
     8	Allen Boyd	Democrat	Representative	FL-2
     9	Amo Houghton	Republican/Conservative	Representative	NY-31
    10	Ander Crenshaw	Republican	Representative	FL-4
    11	Andrea Nuciforo	Republican	Representative	FL-4
    12	Andrea Seastrand	Former Republican	Representative	CA-22
    13	Anibal Acevedo-Vila	Former Republican	Representative	CA-22
    14	Anna Eshoo	Democrat	Representative	CA-14
    15	Anne Meagher Northup	Republican	Representative	KY-3
    16	Anthony Weiner	Democrat/Liberal	Representative	NY-9
    17	Arlen Specter	Republican	Sr Senator	PA
    18	Artur Davis	US	Representative	Alabama-7
    19	Asa Hutchinson	Director of DEA & Former Republican	Representative	AR-3
    20	Barbara Bailey Kennelly	Former Democrat	Representative	CT-1
    21	Barbara Boxer	Democrat	Jr Senator	CA
    22	Barbara Cubin	Republican	Representative	WY-AL
    23	Barbara Lee	Democrat	Representative	CA-9
    24	Barbara Mikulski	Democrat	Jr Senator	MD
    25	Barbara Vucanovich	Former Republican	Representative	NV-2
    26	Barney Frank	Democrat	Representative	MA-4
    27	Baron Hill	Democrat	Representative	IN-9
    28	Bart Gordon	Democrat	Representative	TN-6
    29	Bart Stupak	Democrat	Representative	MI-1
    30	Ben Nelson	Democrat	Jr Senator	NE
    31	Ben Nighthorse Campbell	Republican	Sr Senator	CO
    32	Benjamin Cardin	Democrat	Representative	MD-3
    33	Benjamin Gilman	Republican	Representative	NY-20
    34	Bennett Johnston	Republican	Representative	NY-20
    35	Bennie Thompson	Democrat	Representative	MS-2
    36	Bernie Sanders	Independent	Representative	VT-AL
    37	Betty McCollum	Democrat	Representative	MN-4
    38	Bill Archer	Republican	Representative	TX-7
    39	Bill Baker	Former Republican	Representative	CA-10
    40	Bill Barrett	Republican	Representative	NE-3
    41	Bill Clinger	Former Republican	Representative	PA-5
    42	Bill Delahunt	Democrat	Representative	MA-10
    43	Bill Emerson	Former Republican	Representative	MO-8
    44	Bill Frist	Republican	Jr Senator	TN
    45	Bill Goodling	Republican	Representative	PA-19
    46	Bill Hefner	Former Democrat	Representative	NC-8, 1975-98
    47	Bill Jenkins	Republican	Representative	TN-1
    48	Bill Luther	Democrat/Farmer/Labor	Representative	MN-6
    49	Bill McCollum	Republican	Representative	FL-8
    50	Bill Nelson	Democrat	Jr Senator	FL
    51	Bill Pascrell	Democrat	Representative	NJ-8
    52	Bill Paxon	Former Republican	Representative	NY-27
    53	Bill Thomas	Republican	Representative	CA-21
    54	Bill Young	Republican	Representative	FL-10
    55	Bill Zeliff	Former Republican	Representative	NH-1
    56	Billy Tauzin	Republican	Representative	LA-3
    57	Blanche Lambert Lincoln	Democrat	Jr Senator	AR
    58	Bob Barr	Republican	Representative	GA-7
    59	Bob Beauprez	US	Representative	Colorado-7
    60	Bob Clement	Democrat	Representative	TN-5
    61	Bob Dole	Democrat	Representative	TN-5
    62	Bob Dornan	Former Republican	Representative	CA-46
    63	Bob Etheridge	Democrat	Representative	NC-2
    64	Bob Filner	Democrat	Representative	CA-50
    65	Bob Goodlatte	Republican	Representative	VA-6
    66	Bob Graham	Democrat	Sr Senator	FL
    67	Bob Inglis	Former Republican	Representative	SC-4
    68	Bob Kerrey	Democrat	Sr Senator	NE
    69	Bob Livingston	Former Republican	Representative	LA-1
    70	Bob Ney	Republican	Representative	OH-18
    71	Bob Riley	Republican	Representative	AL-3
    72	Bob Schaffer	Republican	Representative	CO-4
    73	Bob Smith	Republican	Sr Senator	NH
    74	Bob Stump	Republican	Representative	AZ-3
    75	Bob Torricelli	Democrat	Jr Senator	NJ
    76	Bob Wise	Democrat Governor (WV) & Former	Representative	WV-2
    77	Bobby Rush	Democrat	Representative	IL-1
    78	Bobby Scott	Democrat	Representative	VA-3
    79	Brad Carson	Democrat	Representative	OK-2
    80	Brad Miller	US	Representative	North Carolina-13
    81	Brad Sherman	Democrat	Representative	CA-24
    82	Brian Baird	Democrat	Representative	WA-3
    83	Brian Bilbray	Republican	Representative	CA-49
    84	Brian Joyce	Republican	Representative	CA-49
    85	Brian Kerns	Republican	Representative	IN-7
    86	Brian Lees	Republican	Representative	IN-7
    87	Bruce Tarr	Republican	Representative	IN-7
    88	Bruce Vento	Democrat/Farmer/Labor	Representative	MN-4
    89	Buck McKeon	Republican	Representative	CA-25
    90	Bud Cramer	Democrat	Representative	AL-5
    91	Bud Shuster	Republican	Representative	PA-9
    92	Butch Otter	Republican	Representative	ID-1
    93	Byron Dorgan	Democrat	Jr Senator	ND
    94	Cal Dooley	Democrat	Representative	CA-20
    95	Candice Miller	US	Representative	Michigan-10
    96	Carl Levin	US	Representative	Michigan-10
    97	Carlos Moorhead	Former Republican	Representative	CA-27
    98	Carol Moseley-Braun	Former Republican	Representative	CA-27
