duncan	hunter		Duncan	San Diego, CA	duncan_hunter	0		17	Politician	123696	[null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]	http://watchdog.net/p/duncan_hunter#it	412283		0	28011500				33875000		http://en.wikipedia.org/wiki/Duncan_Hunter	http://watchdog.net/us/ca-52#it		0.548	http://votesmart.org/bio.php?can_id=26776	Hunter	/data/crawl/votesmart/photos/26776.jpg		2006			14835				[]	M			104308		BBA, San Diego State University.	D.			Project Vote Smart	65		Republican	0.882353		0		16	
george	miller		George		george_miller	0			Politician		[]	http://watchdog.net/p/george_miller#it	407705		0								ARRAY(0x15e4920)				Miller								1809-09-05		[]	M						Funston								M000726	0			
allyson	schwartz	http://www.house.gov/schwartz	Allyson	Queens, NY	allyson_schwartz	0	1941575	21	Politician	147368	[null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]	http://watchdog.net/p/allyson_schwartz#it	400647	0	0	15399600			0	18696000	N00001579	http://en.wikipedia.org/wiki/Allyson_Schwartz	http://watchdog.net/us/pa-13#it	0.663632	-0.358	http://bioguide.congress.gov/scripts/bibdisplay.pl?index=S001162	Schwartz	/data/crawl/house/photos/S001162.jpg		2006	0.32504	0	20525	0.312092	10/03/1948	677	["http://watchdog.net/b/us/109/h1352#it","http://watchdog.net/b/us/109/h1861#it","http://watchdog.net/b/us/109/h4645#it","http://watchdog.net/b/us/109/h4998#it","http://watchdog.net/b/us/109/hr421#it","http://watchdog.net/b/us/110/h1099#it","http://watchdog.net/b/us/110/h2307#it","http://watchdog.net/b/us/110/h2842#it","http://watchdog.net/b/us/110/h3037#it","http://watchdog.net/b/us/110/h3264#it","http://watchdog.net/b/us/110/h3770#it","http://watchdog.net/b/us/110/h4266#it","http://watchdog.net/b/us/110/h4267#it","http://watchdog.net/b/us/110/h4296#it","http://watchdog.net/b/us/110/h4519#it","http://watchdog.net/b/us/110/h539#it","http://watchdog.net/b/us/110/h5952#it","http://watchdog.net/b/us/110/h6826#it","http://watchdog.net/b/us/110/h7191#it","http://watchdog.net/b/us/110/h7192#it","http://watchdog.net/b/us/110/h898#it","http://watchdog.net/b/us/110/hc421#it","http://watchdog.net/b/us/110/hr1294#it","http://watchdog.net/b/us/110/hr1348#it","http://watchdog.net/b/us/110/hr507#it","http://watchdog.net/b/us/110/hr513#it"]	F	Jewish	5	5239		MSS, Bryn Mawr College of Social Work and Social Research, 1972; BA, Sociology, Simmons College, 1970.	Y.	20		Congressional Biographical Directory	66	538	Democratic	0.968615	S001162	0		19	
lynn	westmoreland	http://www.house.gov/westmoreland	Lynn	Atlanta, GA	lynn_westmoreland	0	409347	12	Politician	130428	[null,null,null,null,null,null,null,null,null,null,null,null]	http://watchdog.net/p/lynn_westmoreland#it	400627	2	0	4976000			2	7579000	N00026163	http://en.wikipedia.org/wiki/Lynn_Westmoreland	http://watchdog.net/us/ga-03#it	0.568102	0.816	http://bioguide.congress.gov/scripts/bibdisplay.pl?index=W000796	Westmoreland	/data/crawl/house/photos/W000796.jpg		2006	0.878028	0	20506	0.426899	04/02/1950	700	["http://watchdog.net/b/us/109/hr991#it","http://watchdog.net/b/us/110/h2309#it","http://watchdog.net/b/us/110/h3229#it","http://watchdog.net/b/us/110/h3492#it","http://watchdog.net/b/us/110/hr375#it"]	M	Baptist	10	8001		Diploma, Therrel High School, 1968.	A.	3		Congressional Biographical Directory	68	385	Republican	0.957882	W000796	0		11	
devin	nunes	http://nunes.house.gov	Devin	Tulare County, CA	devin_nunes	0	837211	7	Politician	95214	[null,null,null,null,null,null,null]	http://watchdog.net/p/devin_nunes#it	400297	6	0	13940100			2	20168600	N00007248	http://en.wikipedia.org/wiki/Devin_Nunes	http://watchdog.net/us/ca-21#it	0.534568	0.546	http://bioguide.congress.gov/scripts/bibdisplay.pl?index=N000181	Nunes	/data/crawl/house/photos/N000181.jpg		2006	0.33799	0	20307	0.465432	10/01/1973	1016	["http://watchdog.net/b/us/108/h1650#it","http://watchdog.net/b/us/108/h1659#it","http://watchdog.net/b/us/108/h2471#it","http://watchdog.net/b/us/108/h309#it","http://watchdog.net/b/us/108/h3467#it","http://watchdog.net/b/us/108/h3932#it","http://watchdog.net/b/us/108/h4044#it","http://watchdog.net/b/us/108/h4223#it","http://watchdog.net/b/us/108/h4508#it","http://watchdog.net/b/us/108/h4581#it","http://watchdog.net/b/us/108/h4817#it","http://watchdog.net/b/us/108/hr688#it","http://watchdog.net/b/us/109/h1851#it","http://watchdog.net/b/us/109/h2383#it","http://watchdog.net/b/us/109/h3691#it","http://watchdog.net/b/us/109/h4015#it","http://watchdog.net/b/us/109/h4281#it","http://watchdog.net/b/us/109/h5509#it","http://watchdog.net/b/us/109/h5760#it","http://watchdog.net/b/us/109/h5890#it","http://watchdog.net/b/us/109/h6295#it","http://watchdog.net/b/us/109/h6431#it","http://watchdog.net/b/us/109/h99#it","http://watchdog.net/b/us/109/hr45#it","http://watchdog.net/b/us/110/h1706#it","http://watchdog.net/b/us/110/h2305#it","http://watchdog.net/b/us/110/h2535#it","http://watchdog.net/b/us/110/h3069#it","http://watchdog.net/b/us/110/h3300#it","http://watchdog.net/b/us/110/h3767#it","http://watchdog.net/b/us/110/h3768#it","http://watchdog.net/b/us/110/h5538#it","http://watchdog.net/b/us/110/h5539#it","http://watchdog.net/b/us/110/h5825#it","http://watchdog.net/b/us/110/h6994#it","http://watchdog.net/b/us/110/h925#it","http://watchdog.net/b/us/110/hr1327#it","http://watchdog.net/b/us/110/hr1438#it"]	M	Roman Catholic	2	16725		MS, Agriculture, California Polytechnic State University, San Luis Obispo, 1996; BS, Agricultural Business, California Polytechnic State University, San Luis Obispo, 1995; AA, Agriculture, College of the Sequoias, 1993.	G.	34		Congressional Biographical Directory	67	351	Republican	0.919553	N000181	0		7	
tom	mcclintock		Tom		tom_mcclintock	0			Politician		[]	http://watchdog.net/p/tom_mcclintock#it	412295		0							http://en.wikipedia.org/wiki/Tom_McClintock	http://watchdog.net/us/ca-04#it				McClintock										[]	M			9715		BA, Political Science, University of California, Los Angeles, 1978.							Republican			0			
mike	michaud	http://michaud.house.gov	Michael	Millinocket, ME	mike_michaud	0	535681	25	Politician	179732	[null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]	http://watchdog.net/p/mike_michaud#it	400274	6	0	16062000			0	20805000	N00024770	http://en.wikipedia.org/wiki/Mike_Michaud	http://watchdog.net/us/me-02#it	0.261764	-0.374	http://bioguide.congress.gov/scripts/bibdisplay.pl?index=M001149	Michaud	/data/crawl/house/photos/M001149.jpg		2006	0.368262	0	20328	0.734206	01/18/1955	1720	["http://watchdog.net/b/us/108/h1142#it","http://watchdog.net/b/us/108/h1694#it","http://watchdog.net/b/us/108/h1750#it","http://watchdog.net/b/us/108/h2294#it","http://watchdog.net/b/us/108/h2511#it","http://watchdog.net/b/us/108/h2611#it","http://watchdog.net/b/us/108/h2612#it","http://watchdog.net/b/us/108/h2721#it","http://watchdog.net/b/us/108/h2879#it","http://watchdog.net/b/us/108/h3010#it","http://watchdog.net/b/us/108/h3239#it","http://watchdog.net/b/us/108/h3448#it","http://watchdog.net/b/us/108/h4173#it","http://watchdog.net/b/us/108/h4739#it","http://watchdog.net/b/us/108/h4803#it","http://watchdog.net/b/us/108/h4804#it","http://watchdog.net/b/us/108/h4976#it","http://watchdog.net/b/us/108/h5030#it","http://watchdog.net/b/us/108/hj91#it","http://watchdog.net/b/us/108/hj85#it","http://watchdog.net/b/us/108/hr232#it","http://watchdog.net/b/us/108/hr346#it","http://watchdog.net/b/us/109/h1012#it","http://watchdog.net/b/us/109/h1573#it","http://watchdog.net/b/us/109/h1655#it","http://watchdog.net/b/us/109/h1695#it","http://watchdog.net/b/us/109/h2635#it","http://watchdog.net/b/us/109/h2692#it","http://watchdog.net/b/us/109/h3480#it","http://watchdog.net/b/us/109/h3579#it","http://watchdog.net/b/us/109/h3713#it","http://watchdog.net/b/us/109/h4046#it","http://watchdog.net/b/us/109/h4879#it","http://watchdog.net/b/us/109/h5524#it","http://watchdog.net/b/us/109/h5960#it","http://watchdog.net/b/us/109/h6050#it","http://watchdog.net/b/us/109/h717#it","http://watchdog.net/b/us/109/h821#it","http://watchdog.net/b/us/109/hj25#it","http://watchdog.net/b/us/109/hr433#it","http://watchdog.net/b/us/109/hr694#it","http://watchdog.net/b/us/110/h1607#it","http://watchdog.net/b/us/110/h1824#it","http://watchdog.net/b/us/110/h1910#it","http://watchdog.net/b/us/110/h1992#it","http://watchdog.net/b/us/110/h2064#it","http://watchdog.net/b/us/110/h2251#it","http://watchdog.net/b/us/110/h2263#it","http://watchdog.net/b/us/110/h2475#it","http://watchdog.net/b/us/110/h2874#it","http://watchdog.net/b/us/110/h4124#it","http://watchdog.net/b/us/110/h5554#it","http://watchdog.net/b/us/110/h5856#it","http://watchdog.net/b/us/110/h6180#it","http://watchdog.net/b/us/110/h6429#it","http://watchdog.net/b/us/110/h7101#it","http://watchdog.net/b/us/110/h7314#it","http://watchdog.net/b/us/110/h2199#it"]	M	Catholic	3	6582		Doctor of Public Service, Unity College, 1989; Diploma, Schenck High School, 1973; Attended, Senior Executives Program, John F. Kennedy School of Government, Harvard University.	H.	51	Mike	Congressional Biographical Directory	71	1161	Democratic	0.950604	M001149	0		23	
kurt	schrader		Kurt	Bridgeport, CT	kurt_schrader	0			Politician		[]	http://watchdog.net/p/kurt_schrader#it	412315		0							http://en.wikipedia.org/wiki/Kurt_Schrader	http://watchdog.net/us/or-05#it			http://votesmart.org/bio.php?can_id=10813	Schrader	/data/crawl/votesmart/photos/10813.JPG									[]	M			10813		DVM, University of Illinois, 1977; BS, University of Illinois, 1975; BA, Cornell University, 1973.				Project Vote Smart			Democratic			0			
john	dingell	http://www.house.gov/dingell	John	Colorado Springs, CO	john_dingell	0	1712964	37	Politician	181946	[null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]	http://watchdog.net/p/john_dingell#it	400110	24	0	33039100			9	68051100	N00001783	http://en.wikipedia.org/wiki/John_Dingell	http://watchdog.net/us/mi-15#it	0.265767	-0.433	http://bioguide.congress.gov/scripts/bibdisplay.pl?index=D000355	Dingell	/data/crawl/house/photos/D000355.jpg		2006	0.517341	0	2605	0.71231	07/08/1926	913	["http://watchdog.net/b/us/108/h1124#it","http://watchdog.net/b/us/108/h1184#it","http://watchdog.net/b/us/108/h1272#it","http://watchdog.net/b/us/108/h15#it","http://watchdog.net/b/us/108/h2000#it","http://watchdog.net/b/us/108/h2209#it","http://watchdog.net/b/us/108/h2793#it","http://watchdog.net/b/us/108/h3004#it","http://watchdog.net/b/us/108/h3269#it","http://watchdog.net/b/us/108/h3835#it","http://watchdog.net/b/us/108/h3940#it","http://watchdog.net/b/us/108/h411#it","http://watchdog.net/b/us/108/h4350#it","http://watchdog.net/b/us/108/h4437#it","http://watchdog.net/b/us/108/h4555#it","http://watchdog.net/b/us/108/h4628#it","http://watchdog.net/b/us/108/h4666#it","http://watchdog.net/b/us/108/h4935#it","http://watchdog.net/b/us/108/h4936#it","http://watchdog.net/b/us/108/h5428#it","http://watchdog.net/b/us/108/hj5#it","http://watchdog.net/b/us/108/hr480#it","http://watchdog.net/b/us/108/hr702#it","http://watchdog.net/b/us/108/hr708#it","http://watchdog.net/b/us/108/hr746#it","http://watchdog.net/b/us/108/hr745#it","http://watchdog.net/b/us/109/h1301#it","http://watchdog.net/b/us/109/h15#it","http://watchdog.net/b/us/109/h2071#it","http://watchdog.net/b/us/109/h2259#it","http://watchdog.net/b/us/109/h3157#it","http://watchdog.net/b/us/109/h3335#it","http://watchdog.net/b/us/109/h3656#it","http://watchdog.net/b/us/109/h3698#it","http://watchdog.net/b/us/109/h3980#it","http://watchdog.net/b/us/109/h4556#it","http://watchdog.net/b/us/109/h4683#it","http://watchdog.net/b/us/109/h4685#it","http://watchdog.net/b/us/109/h4719#it","http://watchdog.net/b/us/109/h5084#it","http://watchdog.net/b/us/109/h5132#it","http://watchdog.net/b/us/109/h5133#it","http://watchdog.net/b/us/109/h5415#it","http://watchdog.net/b/us/109/h5834#it","http://watchdog.net/b/us/109/h5828#it","http://watchdog.net/b/us/109/h5916#it","http://watchdog.net/b/us/109/h757#it","http://watchdog.net/b/us/109/h878#it","http://watchdog.net/b/us/109/h879#it","http://watchdog.net/b/us/109/hc213#it","http://watchdog.net/b/us/109/hr366#it","http://watchdog.net/b/us/109/hr452#it","http://watchdog.net/b/us/109/hr459#it","http://watchdog.net/b/us/109/hr904#it","http://watchdog.net/b/us/110/h2923#it","http://watchdog.net/b/us/110/h3048#it","http://watchdog.net/b/us/110/h338#it","http://watchdog.net/b/us/110/h3610#it","http://watchdog.net/b/us/110/h3668#it","http://watchdog.net/b/us/110/h3914#it","http://watchdog.net/b/us/110/h3938#it","http://watchdog.net/b/us/110/h4115#it","http://watchdog.net/b/us/110/h518#it","http://watchdog.net/b/us/110/h5613#it","http://watchdog.net/b/us/110/h6357#it","http://watchdog.net/b/us/110/h6238#it","http://watchdog.net/b/us/110/h6470#it","http://watchdog.net/b/us/110/h669#it","http://watchdog.net/b/us/110/h6729#it","http://watchdog.net/b/us/110/h6946#it","http://watchdog.net/b/us/110/h7077#it","http://watchdog.net/b/us/110/hc217#it","http://watchdog.net/b/us/110/hr207#it","http://watchdog.net/b/us/110/hr4#it","http://watchdog.net/b/us/111/hr4#it","http://watchdog.net/b/us/110/h936#it","http://watchdog.net/b/us/110/h4#it","http://watchdog.net/b/us/110/h1781#it","http://watchdog.net/b/us/110/h1017#it","http://watchdog.net/b/us/110/h2900#it","http://watchdog.net/b/us/110/h3963#it","http://watchdog.net/b/us/110/h3162#it","http://watchdog.net/b/us/110/h1535#it","http://watchdog.net/b/us/110/h15#it","http://watchdog.net/b/us/110/h2034#it","http://watchdog.net/b/us/110/h3580#it"]	M	Catholic	9	26917		JD, Georgetown University Law School, 1952; BS, Chemistry, Georgetown University, 1949.	D.	149		Congressional Biographical Directory	88	1175	Democratic	0.949495	D000355	0		36	
mike	honda	http://www.house.gov/honda	Michael	Walnut Creek, CA	mike_honda	0	707831	41	Politician	115532	[null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]	http://watchdog.net/p/mike_honda#it	400185	1	0	33990720			1	36196500	N00012611	http://en.wikipedia.org/wiki/Mike_Honda	http://watchdog.net/us/ca-15#it	0.636925	-0.593	http://bioguide.congress.gov/scripts/bibdisplay.pl?index=H001034	Honda	/data/crawl/house/photos/H001034.jpg		2006	0.833148	0	20103	0.33525	06/27/1941	679	["http://watchdog.net/b/us/108/h1611#it","http://watchdog.net/b/us/108/h283#it","http://watchdog.net/b/us/108/h2773#it","http://watchdog.net/b/us/108/h3578#it","http://watchdog.net/b/us/108/h363#it","http://watchdog.net/b/us/108/h4398#it","http://watchdog.net/b/us/108/h4656#it","http://watchdog.net/b/us/108/h4954#it","http://watchdog.net/b/us/108/h5321#it","http://watchdog.net/b/us/108/h5402#it","http://watchdog.net/b/us/108/hj45#it","http://watchdog.net/b/us/108/hr236#it","http://watchdog.net/b/us/108/hr382#it","http://watchdog.net/b/us/108/hr475#it","http://watchdog.net/b/us/108/hr56#it","http://watchdog.net/b/us/109/h1491#it","http://watchdog.net/b/us/109/h1914#it","http://watchdog.net/b/us/109/h2966#it","http://watchdog.net/b/us/109/h3475#it","http://watchdog.net/b/us/109/h3560#it","http://watchdog.net/b/us/109/h3561#it","http://watchdog.net/b/us/109/h5477#it","http://watchdog.net/b/us/109/h5498#it","http://watchdog.net/b/us/109/h551#it","http://watchdog.net/b/us/109/h935#it","http://watchdog.net/b/us/109/h936#it","http://watchdog.net/b/us/109/hr1048#it","http://watchdog.net/b/us/109/hr1069#it","http://watchdog.net/b/us/110/h1346#it","http://watchdog.net/b/us/110/h1397#it","http://watchdog.net/b/us/110/h1492#it","http://watchdog.net/b/us/110/h1728#it","http://watchdog.net/b/us/110/h3235#it","http://watchdog.net/b/us/110/h3727#it","http://watchdog.net/b/us/110/h3944#it","http://watchdog.net/b/us/110/h4146#it","http://watchdog.net/b/us/110/h4173#it","http://watchdog.net/b/us/110/h6104#it","http://watchdog.net/b/us/110/h6558#it","http://watchdog.net/b/us/110/h6617#it","http://watchdog.net/b/us/110/h6938#it","http://watchdog.net/b/us/110/h7203#it","http://watchdog.net/b/us/110/hr1192#it","http://watchdog.net/b/us/110/hr121#it","http://watchdog.net/b/us/110/hr122#it","http://watchdog.net/b/us/110/hr365#it","http://watchdog.net/b/us/110/hr366#it","http://watchdog.net/b/us/110/hr415#it","http://watchdog.net/b/us/110/hr550#it","http://watchdog.net/b/us/110/hr735#it"]	M	Protestant	4	9674		MA, Education, San Jose State University, 1974; BS, Biological Sciences/Spanish, San Jose State University, 1968.	M.	38	Mike	Congressional Biographical Directory	72	1708	Democratic	0.974011	H001034	0		40	
